sector,year,value_added_real,cloud_intensity
A,2020,100.0,39.903999999999996
A,2021,118.12,48.646
A,2022,122.15,
A,2023,107.5,54.668000000000006
A,2024,107.31,
A,2025,107.76,61.641999999999996
B-E,2020,100.0,39.903999999999996
B-E,2021,106.41,48.646
B-E,2022,106.24,
B-E,2023,104.08,54.668000000000006
B-E,2024,99.91,
B-E,2025,98.9,61.641999999999996
C,2020,100.0,39.903999999999996
C,2021,109.12,48.646
C,2022,111.3,
C,2023,109.53,54.668000000000006
C,2024,104.84,
C,2025,103.45,61.641999999999996
F,2020,100.0,39.903999999999996
F,2021,96.69,48.646
F,2022,85.85,
F,2023,82.07,54.668000000000006
F,2024,78.94,
F,2025,76.06,61.641999999999996
