sector,year,cloud_intensity_sim,cloud_intensity_sector_sim,pred_target_value_added
A,2026,35.24913,27.212590627956345,28440.025715786498
A,2027,37.01158650000001,28.573220159354165,29351.28202381963
A,2028,38.86216582500001,30.001881167321876,30252.421118539758
A,2029,40.80527411625001,31.50197522568797,31142.937139280606
A,2030,42.84553782206252,33.07707398697237,32022.29893234372
A01,2026,35.24913,27.212590627956345,27088.380273390096
A01,2027,37.01158650000001,28.573220159354165,27999.636581423227
A01,2028,38.86216582500001,30.001881167321876,28900.775676143356
A01,2029,40.80527411625001,31.50197522568797,29791.291696884204
A01,2030,42.84553782206252,33.07707398697237,30670.65348994732
A02,2026,35.24913,27.212590627956345,14851.699276711326
A02,2027,37.01158650000001,28.573220159354165,15762.955584744457
A02,2028,38.86216582500001,30.001881167321876,16664.094679464586
A02,2029,40.80527411625001,31.50197522568797,17554.610700205434
A02,2030,42.84553782206252,33.07707398697237,18433.97249326855
A03,2026,35.24913,27.212590627956345,15824.599568912294
A03,2027,37.01158650000001,28.573220159354165,16735.855876945425
A03,2028,38.86216582500001,30.001881167321876,17636.994971665554
A03,2029,40.80527411625001,31.50197522568797,18527.5109924064
A03,2030,42.84553782206252,33.07707398697237,19406.872785469517
B,2026,35.24913,27.212590627956345,15291.497947974596
B,2027,37.01158650000001,28.573220159354165,16202.754256007727
B,2028,38.86216582500001,30.001881167321876,17103.893350727856
B,2029,40.80527411625001,31.50197522568797,17994.409371468704
B,2030,42.84553782206252,33.07707398697237,18873.77116453182
B-E,2026,35.24913,27.212590627956345,631384.5286545525
B-E,2027,37.01158650000001,28.573220159354165,632295.7849625857
B-E,2028,38.86216582500001,30.001881167321876,633196.9240573053
B-E,2029,40.80527411625001,31.50197522568797,634087.4400780466
B-E,2030,42.84553782206252,33.07707398697237,634966.8018711093
C,2026,35.24913,27.212590627956345,572798.9178343918
C,2027,37.01158650000001,28.573220159354165,573710.174142425
C,2028,38.86216582500001,30.001881167321876,574611.3132371451
C,2029,40.80527411625001,31.50197522568797,575501.8292578859
C,2030,42.84553782206252,33.07707398697237,576381.191050949
C10-C12,2026,35.24913,27.212590627956345,46923.307826709
C10-C12,2027,37.01158650000001,28.573220159354165,47834.56413474213
C10-C12,2028,38.86216582500001,30.001881167321876,48735.70322946226
C10-C12,2029,40.80527411625001,31.50197522568797,49626.21925020311
C10-C12,2030,42.84553782206252,33.07707398697237,50505.581043266226
C13-C15,2026,35.24913,27.212590627956345,18351.79883772228
C13-C15,2027,37.01158650000001,28.573220159354165,19263.05514575541
C13-C15,2028,38.86216582500001,30.001881167321876,20164.19424047554
C13-C15,2029,40.80527411625001,31.50197522568797,21054.710261216387
C13-C15,2030,42.84553782206252,33.07707398697237,21934.072054279502
C16,2026,35.24913,27.212590627956345,16919.762749999296
C16,2027,37.01158650000001,28.573220159354165,17831.019058032427
C16,2028,38.86216582500001,30.001881167321876,18732.158152752556
C16,2029,40.80527411625001,31.50197522568797,19622.674173493404
C16,2030,42.84553782206252,33.07707398697237,20502.03596655652
C16-C18,2026,35.24913,27.212590627956345,35198.174590195995
C16-C18,2027,37.01158650000001,28.573220159354165,36109.430898229126
C16-C18,2028,38.86216582500001,30.001881167321876,37010.569992949255
C16-C18,2029,40.80527411625001,31.50197522568797,37901.0860136901
C16-C18,2030,42.84553782206252,33.07707398697237,38780.44780675322
C17,2026,35.24913,27.212590627956345,22059.943806354422
C17,2027,37.01158650000001,28.573220159354165,22971.200114387553
C17,2028,38.86216582500001,30.001881167321876,23872.339209108148
C17,2029,40.80527411625001,31.50197522568797,24762.85522984853
C17,2030,42.84553782206252,33.07707398697237,25642.21702291211
C18,2026,35.24913,27.212590627956345,20154.006854106672
C18,2027,37.01158650000001,28.573220159354165,21065.263162139803
C18,2028,38.86216582500001,30.001881167321876,21966.402256859932
C18,2029,40.80527411625001,31.50197522568797,22856.91827760078
C18,2030,42.84553782206252,33.07707398697237,23736.280070663895
C19,2026,35.24913,27.212590627956345,15152.832912965212
C19,2027,37.01158650000001,28.573220159354165,16064.089220998343
C19,2028,38.86216582500001,30.001881167321876,16965.228315718472
C19,2029,40.80527411625001,31.50197522568797,17855.74433645932
C19,2030,42.84553782206252,33.07707398697237,18735.106129522435
C20,2026,35.24913,27.212590627956345,47232.23664219305
C20,2027,37.01158650000001,28.573220159354165,48143.49295022618
C20,2028,38.86216582500001,30.001881167321876,49044.63204494631
C20,2029,40.80527411625001,31.50197522568797,49935.14806568716
C20,2030,42.84553782206252,33.07707398697237,50814.50985875027
C21,2026,35.24913,27.212590627956345,31239.532338489313
C21,2027,37.01158650000001,28.573220159354165,32150.788646522444
C21,2028,38.86216582500001,30.001881167321876,33051.92774124257
C21,2029,40.80527411625001,31.50197522568797,33942.44376198342
C21,2030,42.84553782206252,33.07707398697237,34821.805555046536
C22,2026,35.24913,27.212590627956345,39133.81860721251
C22,2027,37.01158650000001,28.573220159354165,40045.07491524564
C22,2028,38.86216582500001,30.001881167321876,40946.21400996577
C22,2029,40.80527411625001,31.50197522568797,41836.73003070662
C22,2030,42.84553782206252,33.07707398697237,42716.09182376973
C22_C23,2026,35.24913,27.212590627956345,52569.88683860609
C22_C23,2027,37.01158650000001,28.573220159354165,53481.143146639224
